Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate","Ratings"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","311-0.0GRTR-ND,311-0.0GRCT-ND,311-0.0GRDKR-ND","RC0603JR-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/10W 0603","1,292,471","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","311-0.0HRTR-ND,311-0.0HRCT-ND,311-0.0HRDKR-ND","RC0603FR-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/10W 0603","1,753,321","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC0603JR-130RLTR-ND,13-RC0603JR-130RLCT-ND,13-RC0603JR-130RLDKR-ND","RC0603JR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/10W 0603","136,578","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","13-RC0603JR-100RLTR-ND,13-RC0603JR-100RLCT-ND,13-RC0603JR-100RLDKR-ND","RC0603JR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/10W 0603","53,626","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC0603FR-130RLTR-ND,13-RC0603FR-130RLCT-ND,13-RC0603FR-130RLDKR-ND","RC0603FR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/10W 0603","25,383","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","13-RC0603FR-100RLTR-ND,13-RC0603FR-100RLCT-ND,13-RC0603FR-100RLDKR-ND","RC0603FR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/10W 0603","16,244","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","13-RC0603FR-131RLTR-ND,13-RC0603FR-131RLCT-ND,13-RC0603FR-131RLDKR-ND","RC0603FR-131RL","YAGEO","YAGEO","RES 1 OHM 1% 1/10W 0603","97,809","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±1%","0.1W, 1/10W","Thick Film","-","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","311-1.0GRTR-ND,311-1.0GRCT-ND,311-1.0GRDKR-ND","RC0603JR-071RL","YAGEO","YAGEO","RES 1 OHM 5% 1/10W 0603","237,436","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±5%","0.1W, 1/10W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-(1608-metric).jpg","311-1.00HRTR-ND,311-1.00HRCT-ND,311-1.00HRDKR-ND","RC0603FR-071RL","YAGEO","YAGEO","RES 1 OHM 1% 1/10W 0603","2,255,592","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±1%","0.1W, 1/10W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC0603JR-131RLTR-ND,13-RC0603JR-131RLCT-ND,13-RC0603JR-131RLDKR-ND","RC0603JR-131RL","YAGEO","YAGEO","RES 1 OHM 5% 1/10W 0603","20,652","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 Ohms","±5%","0.1W, 1/10W","Thick Film","-","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-"
